Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus
ERR1544369	0	363	0	0	10151	0	NSS	3600.99542424	3681.39160839161	8.93242011944	0.993374856764	0.903505317054	1851
ERR1544372	0	221	0	0	10210	0	NSS	1874.98002823	1869.26646706587	7.54339016034	0.982879601701	0.95107363467	1046
ERR1544374	0	325	0	0	10186	0	NSS	3547.71266358	3615.12126865672	8.82171134114	0.993778621058	0.906163844033	1765
ERR1544377	0	316	0	0	10170	0	NSS	3050.24515914	3178.05217391304	8.42740765779	0.990603422918	0.918189902184	1566
ERR1544393	0	373	0	0	10199	0	NSS	3960.4044404	3897.7268907563	9.18864369247	0.992476177658	0.893161138832	2115
ERR1544413	0	301	0	0	10205	0	NSS	3946.09025526	4092.00743494424	8.53553486699	0.983714713558	0.89629194795	1910
ERR1544421	0	239	0	0	10214	0	NSS	3012.95035859	3112.36180904523	7.84178994644	0.976158462881	0.922287390029	1456
ERR1546940	0	298	0	0	10191	0	NSS	3997.85968592	3982.06766917293	8.57535649982	0.987223014043	0.897488517541	1865
ERR1546941	0	322	0	0	10150	0	NSS	4166.03308198	4117.50161812298	9.0378473937	0.992996562924	0.89100684262	2026
ERR1546942	0	340	0	0	10171	0	NSS	4110.84675075	3940.13323782235	9.19846500774	0.994228996936	0.890670839038	2098
ERR1546945	0	310	0	0	10172	0	NSS	3794.13859182	3813.71590909091	9.01980140487	0.992282248185	0.897568596817	1990
ERR1546950	0	359	0	0	10161	0	NSS	4266.53987736	4225.12198795181	9.18902769224	0.99246685647	0.887063655031	2141
ERR1546953	0	322	0	0	10165	0	NSS	4098.39049926	3989.62539184953	8.94453849489	0.990886387323	0.892026578073	2019
ERR1546965	0	266	0	0	10181	0	NSS	2924.80112375	2999.539408867	8.18010747443	0.984557026019	0.924061767005	1459
ERR1546966	0	270	0	0	10165	0	NSS	2933.40688688	2947.63617021277	8.42306881085	0.988002154546	0.922423058134	1546
ERR1546970	0	277	0	0	10180	0	NSS	2706.40075289	2690.18409090909	8.23111796935	0.985898752703	0.929073856975	1433
ERR1546994	0	224	0	0	10191	0	NSS	1880.34248012	1804.34782608696	7.51521791761	0.982598274659	0.950923843973	1079
ERR1546999	0	240	0	0	10184	0	NSS	1986.34625075	1968.3908045977	7.64770871122	0.984849003925	0.948341649545	1096
ERR1547000	0	246	0	0	10174	0	NSS	2262.10317491	2448.02903225806	7.9900688677	0.989589588776	0.941711491443	1196
ERR1547001	0	240	0	0	10177	0	NSS	2441.96813569	2560.42352941176	7.98266767897	0.987371427732	0.93664450528	1272
ERR1547002	0	240	0	0	10170	0	NSS	2135.99380843	2226.628125	7.70310542356	0.983458561715	0.944650889889	1162
