DRR027530	0	81	0.0	0	9884	0.0
DRR027533	0	120	0.0	0	9728	0.0
DRR028683	0	130	0.0	0	10215	0.0
DRR028690	0	136	0.0	0	10214	0.0
DRR028692	0	147	0.0	0	10209	0.0
DRR028695	0	164	0.0	0	10229	0.0
DRR028723	5	215	0.02326	94	10168	0.00924
DRR028737	2	222	0.00901	53	10202	0.0052
DRR028749	0	154	0.0	0	10177	0.0
DRR057927	7	364	0.01923	199	9678	0.02056
DRR057928	6	363	0.01653	127	9576	0.01326
DRR057929	4	328	0.0122	92	9519	0.00966
DRR057934	4	323	0.01238	104	9801	0.01061
DRR060143	21	416	0.05048	347	10085	0.03441
DRR060150	4	298	0.01342	172	10114	0.01701
DRR060159	3	390	0.00769	117	10024	0.01167
DRR060165	8	541	0.01479	186	10119	0.01838
DRR060166	12	500	0.024	281	9772	0.02876
DRR060169	16	584	0.0274	285	10072	0.0283
DRR065508	14	517	0.02708	285	10018	0.02845
DRR065509	13	485	0.0268	282	10084	0.02797
DRR065513	16	561	0.02852	261	10058	0.02595
DRR065514	15	570	0.02632	244	10079	0.02421
DRR065515	19	537	0.03538	330	10121	0.03261
DRR065526	18	547	0.03291	358	10143	0.0353
DRR065529	9	455	0.01978	229	10109	0.02265
DRR065533	9	467	0.01927	229	10136	0.02259
DRR065543	19	528	0.03598	322	9948	0.03237
DRR065546	22	580	0.03793	324	10133	0.03197
DRR065547	17	542	0.03137	334	10098	0.03308
DRR065548	20	567	0.03527	330	10067	0.03278
DRR065555	21	547	0.03839	306	10060	0.03042
DRR065556	23	524	0.04389	317	9986	0.03174
DRR065560	20	563	0.03552	358	10066	0.03557
DRR065564	13	490	0.02653	246	10114	0.02432
DRR065566	10	439	0.02278	288	10068	0.02861
DRR065567	13	457	0.02845	374	10080	0.0371
DRR065568	14	483	0.02899	356	10129	0.03515
DRR065569	17	468	0.03632	274	10077	0.02719
DRR075441	2	155	0.0129	52	9972	0.00521
DRR089775	1	27	0.03704	109	9982	0.01092
DRR089777	0	33	0.0	0	9956	0.0
ERR1103000	0	61	0.0	0	10116	0.0
ERR1103029	0	74	0.0	0	10033	0.0
ERR1103102	0	61	0.0	0	10045	0.0
ERR1103123	0	80	0.0	0	10010	0.0
ERR1103129	0	64	0.0	0	9976	0.0
ERR1103145	0	56	0.0	0	9973	0.0
ERR1103177	0	69	0.0	0	10081	0.0
ERR1103192	1	37	0.02703	34	9739	0.00349
ERR1103247	1	64	0.01562	107	9832	0.01088
ERR1103250	0	40	0.0	0	9954	0.0
ERR1103251	0	63	0.0	0	9798	0.0
ERR1103252	1	65	0.01538	116	9920	0.01169
ERR1103262	0	61	0.0	0	9860	0.0
ERR1103267	0	76	0.0	0	9841	0.0
ERR1103270	0	51	0.0	0	9777	0.0
ERR1103274	0	44	0.0	0	9924	0.0
ERR1103278	0	56	0.0	0	9601	0.0
ERR1103290	1	66	0.01515	331	9906	0.03341
ERR1103301	0	59	0.0	0	9323	0.0
ERR1103302	0	64	0.0	0	9640	0.0
ERR1103303	0	75	0.0	0	9324	0.0
ERR1103316	1	67	0.01493	371	9761	0.03801
ERR1103322	0	42	0.0	0	9476	0.0
ERR1103324	1	43	0.02326	317	9354	0.03389
ERR1103329	0	51	0.0	0	9606	0.0
ERR1103340	0	54	0.0	0	9555	0.0
ERR1103343	1	65	0.01538	179	9485	0.01887
ERR1103345	0	63	0.0	0	9601	0.0
ERR1103349	3	71	0.04225	286	9541	0.02998
ERR1103369	0	54	0.0	0	9395	0.0
