Samples	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus	BioProject	SRA_Study	Depth	Lat	Long	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	percentSize
DRR027530	SW	653.539869	681.8287671	5.857972001	0.945979015	0.983526411	500	PRJDB3367	DRP002427	0.033	35.16	139.61	0	81	0	0	9884	0	0
DRR027533	SW	430.721051	446.3604651	6.68012056	0.973766653	0.992188397	379	PRJDB3367	DRP002427	0.042	35.16	139.61	0	120	0	0	9728	0	0
DRR028683	SW	1134.351945	1261.105263	6.493508254	0.965882659	0.970906961	665	PRJDB3419	DRP002509	0.5	28.88	122.12	0	130	0	0	10215	0	0
DRR028690	SW	1178.887878	1168.619048	6.469610319	0.95720971	0.970123023	706	PRJDB3419	DRP002509	0.5	28.85	122.22	0	136	0	0	10214	0	0
DRR028692	SW	2065.751364	2114.232558	6.441496574	0.94283626	0.947933965	975	PRJDB3419	DRP002509	0.5	28.9	122.25	0	147	0	0	10209	0	0
DRR028695	SW	1688.260509	1704.87218	6.852266623	0.957884302	0.956165186	924	PRJDB3419	DRP002509	0.5	28.89	122.29	0	164	0	0	10229	0	0
DRR028723	SW	3558.282076	3311.173835	7.50180726	0.964995307	0.906625037	1660	PRJDB3419	DRP002509	0.5	30.57	122.25	5	215	0.02326	94	10168	0.00924	2
DRR028737	SW	3177.451713	2972.901163	8.030275438	0.983087502	0.917154567	1574	PRJDB3419	DRP002509	0.5	30.13	122.67	2	222	0.00901	53	10202	0.0052	2
DRR028749	SW	2556.33443	2770.689922	6.83465518	0.956481439	0.936591552	1121	PRJDB3419	DRP002509	0.5	30.81	122.5	0	154	0	0	10177	0	0
DRR057927	SW	1185.411647	1251.315574	9.217285353	0.996950338	0.981425091	1085	PRJDB3913	DRP003064	0.035	65.4451	23.2985	7	364	0.01923	199	9678	0.02056	4
DRR057928	SW	1196.393894	1254.683761	9.259598701	0.997081988	0.981578947	1099	PRJDB3913	DRP003064	0.035	65.4451	23.2985	6	363	0.01653	127	9576	0.01326	4
DRR057929	SW	1228.868264	1299.625926	9.264149687	0.997015935	0.980058164	1123	PRJDB3913	DRP003064	0.035	65.4451	23.2985	4	328	0.0122	92	9519	0.00966	2
DRR057934	SW	921.5156555	988.4468085	8.509445587	0.994155434	0.984721939	832	PRJDB3913	DRP003064	0.035	65.4451	23.2985	4	323	0.01238	104	9801	0.01061	4
DRR060143	MS	6298.936046	5812.724665	10.06420566	0.996748395	0.832043874	2985	PRJDB4762	DRP003373	0	29.11	121.64	21	416	0.05048	347	10085	0.03441	7
