OrderInTree	Strain	Prey_of_FA350	Prey_of_B210	Domain	Phylum	Class	Order	Genus
247	Psychrosphaera_haliotis_SDUM136001	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychrosphaera
248	Pseudoalteromonas_shioyasakiensis_SDUM001022	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
249	Pseudoalteromonas_flavipulchra_SDUM001086	0	1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
250	Pseudoalteromonas_piscicida_SDUM001084	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
251	Pseudoalteromonas_prydzensis_SDUM001080	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
252	Pseudoalteromonas_atlantica_SDUM001043	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
253	Pseudoalteromonas_aliena_SDUM001030	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
254	Pseudoalteromonas_paragorgicola_SDUM001082	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
255	Pseudoalteromonas_arctica_SDUM001065	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
256	Pseudoalteromonas_elyakovii_SDUM001006	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
257	Pseudoalteromonas_agarovorans_SDUM001010	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
258	Pseudoalteromonas_undina_SDUM001083	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonas
259	Marinagarivorans_algicola_SDUM127002	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Marinagarivorans
260	Marinomonas_communis_SDUM089003	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonas
261	Marinomonas_pontica_SDUM089004	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinomonas
262	Marinobacterium_sediminicola_SDUM032095	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinobacterium
263	Marinobacterium_stanieri_SDUM032017	0	1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Marinobacterium
264	Endozoicomonas_atrinae_SDUM082001	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonas
265	Microbulbifer_maritimus_SDUM041025	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbifer
266	Pseudomonas_pachastrellae_SDUM019014	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
267	Pseudomonas_fluorescens_SDUM019005	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
268	Pseudomonas_aeruginosa_SDUM019092	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
269	Pseudomonas_alcaligenes_SDUM019026	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
270	Pseudomonas_mendocina_SDUM019009	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
271	Pseudomonas_caeni_SDUM019040	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
272	Pseudomonas_anguilliseptica_SDUM019095	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
273	Psychrobacter_aestuarii_SDUM010041	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Psychrobacter
274	Psychrobacter_aquaticus_SDUM010030	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Psychrobacter
275	Psychrobacter_alimentarius_SDUM010037	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Psychrobacter
276	Psychrobacter_celer_SDUM010016	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Psychrobacter
277	Acinetobacter_johnsonii_SDUM004009	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Acinetobacter
278	Alcaligenes_faecalis_SDUM095001	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Alcaligenes
279	Lysobacter_mobilis_SDUM133003	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Lysobacter
280	Pseudomonas_geniculata_SDUM019039	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonas
281	Lysobacter_spongiicola_SDUM133001	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Lysobacter
